Layer,Name,GEOID,Population,ZIP,TRACT,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
Census tract,Tract 903,17031090300,1339,60068,17031090300,0.001486252,0.0,0.0,0.001248375
Census tract,Tract 903,17031090300,1339,60631,17031090300,0.040079093,0.10730446,0.033751962,0.046086412
Census tract,Tract 1001,17031100100,5630,60646,17031100100,0.197474882,0.179368745,0.339354839,0.203963666
Census tract,Tract 1002,17031100200,6819,60631,17031100200,0.258726899,0.265029089,0.262166405,0.259611772
Census tract,Tract 1002,17031100200,6819,60646,17031100200,0.00649062,0.007698229,0.015483871,0.007131597
Census tract,Tract 1002,17031100200,6819,60714,17031100200,0.0,0.000542005,0.001011122,0.000124463
Census tract,Tract 1003,17031100300,6259,60631,17031100300,0.208152711,0.031027796,0.099686028,0.182341891
Census tract,Tract 1003,17031100300,6259,60646,17031100300,0.001333689,0.0,0.0,0.001126042
Census tract,Tract 1003,17031100300,6259,60656,17031100300,0.0,0.003780718,0.0,0.000137495
Census tract,Tract 1004,17031100400,3404,60631,17031100400,0.095596623,0.078862314,0.032967033,0.088979336
Census tract,Tract 1005,17031100500,5840,60631,17031100500,0.016275002,0.0,0.003139717,0.013650595
Census tract,Tract 1005,17031100500,5840,60656,17031100500,0.173311185,0.232514178,0.071272727,0.165818782
Census tract,Tract 1005,17031100500,5840,60706,17031100500,0.000305966,0.0,0.0,0.000260847
Census tract,Tract 1006,17031100600,4792,60630,17031100600,0.002707967,0.003577818,0.0,0.002432996
Census tract,Tract 1006,17031100600,4792,60656,17031100600,0.152744819,0.344045369,0.100363636,0.154750447
Census tract,Tract 1007,17031100700,5180,60630,17031100700,0.002945508,0.000596303,0.0,0.002432996
Census tract,Tract 1007,17031100700,5180,60656,17031100700,0.148156937,0.073724008,0.077818182,0.138801045
Census tract,Tract 1101,17031110100,5514,60630,17031110100,0.010071737,0.030411449,0.007260101,0.01104503
Census tract,Tract 1101,17031110100,5514,60646,17031110100,0.167778074,0.113933795,0.296774194,0.17003228
Census tract,Tract 1102,17031110200,3095,60630,17031110200,0.051356359,0.109123435,0.046401515,0.054491388
Census tract,Tract 1102,17031110200,3095,60646,17031110200,0.001333689,0.0,0.00516129,0.001426319
Census tract,Tract 1103,17031110300,5331,60630,17031110300,0.093258587,0.02862254,0.037247475,0.082219819
Census tract,Tract 1104,17031110400,4666,60630,17031110400,0.086179866,0.044722719,0.115214646,0.087047192
Census tract,Tract 1105.01,17031110501,5323,60630,17031110501,0.079718751,0.036970781,0.05145202,0.073491929
Census tract,Tract 1105.02,17031110502,3574,60630,17031110502,0.071832391,0.11627907,0.119318182,0.080520584
Census tract,Tract 1201,17031120100,4158,60646,17031120100,0.139326043,0.076982294,0.054193548,0.128293672
Census tract,Tract 1201,17031120100,4158,60714,17031120100,0.000151114,0.001626016,0.002022245,0.000435621
Census tract,Tract 1202,17031120200,4607,60646,17031120200,0.15977594,0.244033872,0.105806452,0.164852489
Census tract,Tract 1203,17031120300,6892,60646,17031120300,0.221925847,0.197074673,0.11483871,0.213272277
Census tract,Tract 1203,17031120300,6892,60659,17031120300,6.2484e-05,0.002719855,0.0,0.000306091
Census tract,Tract 1204,17031120400,3727,60630,17031120400,0.06081049,0.066785927,0.040719697,0.058739476
Census tract,Tract 1204,17031120400,3727,60646,17031120400,0.000711301,0.0,0.0,0.000600556
Census tract,Tract 1301,17031130100,5341,60646,17031130100,0.053792122,0.016936105,0.027096774,0.048644997
Census tract,Tract 1301,17031130100,5341,60659,17031130100,0.168332917,0.228014506,0.013307577,0.142507324
Census tract,Tract 1302,17031130200,1571,60630,17031130200,0.018718229,0.017889088,0.005997475,0.01710821
Census tract,Tract 1302,17031130200,1571,60646,17031130200,0.02018316,0.074672825,0.038709677,0.026574581
Census tract,Tract 1303,17031130300,5509,60659,17031130300,0.134341415,0.16137806,0.139085641,0.137915956
