Layer,Name,GEOID,Population
Census tract,Tract 4914,17031491400,3336
Census tract,Tract 5001,17031500100,3136
Census tract,Tract 5002,17031500200,2106
Census tract,Tract 5003,17031500300,1598
Census tract,Tract 5101,17031510100,3325
Census tract,Tract 5102,17031510200,4033
Census tract,Tract 5103,17031510300,4817
Census tract,Tract 5201,17031520100,2001
Census tract,Tract 5202,17031520200,3178
Census tract,Tract 5203,17031520300,5902
Census tract,Tract 5204,17031520400,4515
Census tract,Tract 5205,17031520500,5275
Census tract,Tract 5206,17031520600,2852
Census tract,Tract 5301,17031530100,2263
Census tract,Tract 5302,17031530200,4390
Census tract,Tract 5303,17031530300,4014
Census tract,Tract 5304,17031530400,2183
Census tract,Tract 5305.01,17031530501,4148
Census tract,Tract 5305.02,17031530502,1456
Census tract,Tract 5305.03,17031530503,6171
Census tract,Tract 5306,17031530600,2403
Census tract,Tract 5401.01,17031540101,4104
Census tract,Tract 5401.02,17031540102,3255
Census tract,Tract 5501,17031550100,6465
Census tract,Tract 5502,17031550200,2624
Census tract,Tract 5601,17031560100,1501
Census tract,Tract 5602,17031560200,1644
Census tract,Tract 5603,17031560300,3308
Census tract,Tract 5604,17031560400,1807
Census tract,Tract 5607,17031560700,3764
Census tract,Tract 5608,17031560800,5858
Census tract,Tract 5609,17031560900,5381
Census tract,Tract 5610,17031561000,6301
Census tract,Tract 5611,17031561100,5650
Census tract,Tract 5701,17031570100,1280
Census tract,Tract 5702,17031570200,2236
Census tract,Tract 5703,17031570300,5916
Census tract,Tract 5704,17031570400,1640
Census tract,Tract 5705,17031570500,2654
Census tract,Tract 5801,17031580100,2698
Census tract,Tract 5802,17031580200,3288
Census tract,Tract 5803,17031580300,2512
Census tract,Tract 5804,17031580400,4891
Census tract,Tract 5805.01,17031580501,4993
Census tract,Tract 5805.02,17031580502,5358
Census tract,Tract 5806,17031580600,5179
Census tract,Tract 5807,17031580700,5908
Census tract,Tract 5808,17031580800,2261
Census tract,Tract 5905,17031590500,1865
Census tract,Tract 5906,17031590600,3419
Census tract,Tract 5907,17031590700,3276
Census tract,Tract 6004,17031600400,4188
Census tract,Tract 6006,17031600600,3144
Census tract,Tract 6007,17031600700,2835
Census tract,Tract 6009,17031600900,3549
Census tract,Tract 6103,17031610300,5837
Census tract,Tract 6104,17031610400,1951
Census tract,Tract 6108,17031610800,1611
Census tract,Tract 6110,17031611000,823
Census tract,Tract 6111,17031611100,2552
Census tract,Tract 6112,17031611200,2340
Census tract,Tract 6113,17031611300,2650
Census tract,Tract 6114,17031611400,2846
Census tract,Tract 6115,17031611500,3210
Census tract,Tract 6116,17031611600,1589
Census tract,Tract 6117,17031611700,2012
Census tract,Tract 6118,17031611800,2246
Census tract,Tract 6119,17031611900,1639
Census tract,Tract 6120,17031612000,1347
Census tract,Tract 6121,17031612100,1022
Census tract,Tract 6201,17031620100,4785
Census tract,Tract 6202,17031620200,2138
Census tract,Tract 6203,17031620300,7810
Census tract,Tract 6204,17031620400,4393
Census tract,Tract 6301,17031630100,883
Census tract,Tract 6302,17031630200,1825
Census tract,Tract 6303,17031630300,5483
Census tract,Tract 6304,17031630400,6379
Census tract,Tract 6305,17031630500,5913
Census tract,Tract 6308,17031630800,6781
Census tract,Tract 6309,17031630900,5167
Census tract,Tract 6401,17031640100,1532
Census tract,Tract 6403,17031640300,6655
Census tract,Tract 6404,17031640400,3559
Census tract,Tract 6405,17031640500,3902
Census tract,Tract 6406,17031640600,4206
Census tract,Tract 6407,17031640700,3385
Census tract,Tract 6408,17031640800,1737
Census tract,Tract 6501,17031650100,4389
Census tract,Tract 6502,17031650200,7098
Census tract,Tract 6503.01,17031650301,4919
Census tract,Tract 6503.02,17031650302,4213
Census tract,Tract 6504,17031650400,6648
Census tract,Tract 6505,17031650500,4619
Census tract,Tract 6603.01,17031660301,1398
Census tract,Tract 6603.02,17031660302,4999
Census tract,Tract 6604,17031660400,5804
Census tract,Tract 6605,17031660500,4454
Census tract,Tract 6606,17031660600,5626
Census tract,Tract 6607,17031660700,1477
Census tract,Tract 6608,17031660800,4867
Census tract,Tract 6609,17031660900,4593
Census tract,Tract 6610,17031661000,5434
Census tract,Tract 6611,17031661100,7115
Census tract,Tract 6701,17031670100,1001
Census tract,Tract 6702,17031670200,930
Census tract,Tract 6703,17031670300,1087
Census tract,Tract 6704,17031670400,1689
Census tract,Tract 6705,17031670500,922
Census tract,Tract 6706,17031670600,975
Census tract,Tract 6707,17031670700,1113
Census tract,Tract 6708,17031670800,1015
Census tract,Tract 6709,17031670900,1290
Census tract,Tract 6711,17031671100,754
Census tract,Tract 6712,17031671200,1019
Census tract,Tract 6713,17031671300,2012
Census tract,Tract 6714,17031671400,1147
Census tract,Tract 6715,17031671500,2281
Census tract,Tract 6716,17031671600,1643
Census tract,Tract 6718,17031671800,1367
Census tract,Tract 6719,17031671900,1125
Census tract,Tract 6720,17031672000,3533
Census tract,Tract 6805,17031680500,1235
Census tract,Tract 6806,17031680600,1171
Census tract,Tract 6809,17031680900,3302
